fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2010-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,386082000,235886000,99558000,99558000,45182000,None,150196000,114636000,21993000,14508000,14508000,None,None,None,73597000,84436000,22730000,179034000,85565000,28951000,None,None,279000,93469000,None,72324000,None,71828000,72107000,51700000,12274000,207048000,None,-414982000,95000,94908370
2011-12-31,USD,61595000,204242000,142647000,144475000,-251488000,104102000,208981000,313083000,255000,-43000,None,43000,2655000,-2646000,None,16919000,-253922000,489000,43000,-254411000,-254414000,-253879000,-236960000,-254411000,USD,-128034000,3754000,None,107827000,3365000,14600000,197896000,2829000,-13638000,-254411000,-162258000,446000000,None,None,None,None,None,None,None,None,204423000,None,69583000,None,155708000,None,-254411000,USD,713448000,372838000,255266000,280300000,50082000,9539000,335260000,298414000,32222000,14508000,14508000,None,25061000,None,25034000,32890000,22371000,489403000,191339000,56141000,800000,8983000,8983000,311474000,2830000,276251000,7916000,268335000,276251000,123870000,14915000,104000,None,-669392000,104000,104530305
2012-12-31,USD,30067000,413256000,383189000,388118000,-394283000,150372000,273978000,424350000,288000,-254000,None,254000,2096000,-1828000,None,28825000,-396077000,136000,254000,-396213000,-396210000,-395823000,-366998000,-396213000,USD,-266081000,7055000,None,254735000,16664000,25300000,239228000,17303000,-194726000,-396213000,-206930000,419635000,None,None,None,None,None,None,None,None,188796000,None,24885000,None,-53376000,-2266000,-396213000,USD,1114190000,524768000,201890000,220984000,268504000,26842000,585110000,552229000,57543000,14267000,14267000,None,None,None,19094000,27532000,21963000,989490000,539108000,303382000,700000,55206000,55206000,471714000,9965000,452336000,50841000,401495000,452336000,-195928000,25170000,115000,None,-1065606000,115000,114214274
2013-12-31,USD,456262000,217070000,1557234000,1565882000,-61283000,285569000,231976000,517545000,189000,-32934000,None,32934000,-3655000,22602000,17171000,106083000,-71426000,2588000,32934000,-74014000,-74014000,-38492000,67591000,-74014000,USD,257994000,9298000,None,123808000,39725000,83900000,264224000,21917000,-463270000,-74014000,-249417000,635422000,None,None,None,None,None,None,None,360000000,660000000,120318000,270625000,None,643999000,-6810000,-74014000,USD,2416930000,1265939000,845889000,848901000,340355000,49109000,768566000,738494000,140142000,13930000,13930000,None,None,None,3012000,30586000,23637000,1749810000,675160000,303969000,230856000,7904000,7904000,272303000,None,586301000,182000,586119000,586301000,-7904000,58197000,667120000,None,-1139620000,123000,123090990
2014-12-31,USD,881671000,3198356000,2316685000,2332294000,-186689000,603660000,464700000,1068360000,1126000,-100886000,None,100886000,1891000,1813000,63105000,231931000,-284636000,9404000,100886000,-294040000,-294062000,-183750000,48181000,-294040000,USD,156960000,23659000,None,583054000,248788000,155900000,969885000,183658000,-1050264000,-294040000,-990444000,2143130000,3271000,None,None,None,None,None,None,None,2300000000,389160000,489615000,None,1059824000,-35525000,-294040000,USD,5830667000,3180073000,1905713000,1905713000,953675000,226604000,1883850000,1829267000,292590000,None,None,None,16673000,None,17947000,112665000,43209000,4860761000,2107166000,777946000,381096000,1212698000,601599000,2266433000,12267000,2959795000,611099000,1220000000,3561394000,-632128000,154660000,911710000,None,-1433682000,126000,125687607
2015-12-31,USD,923503000,4046025000,3122522000,2868242000,-716629000,922232000,717900000,1640132000,1508000,-118851000,None,118851000,-55765000,-41652000,None,422590000,-875624000,13039000,118851000,-888663000,-892197000,-756773000,-334183000,-888663000,USD,-574117000,41521000,None,323763000,7690000,278700000,1634850000,-46267000,369364000,-888663000,-1673551000,1523523000,703745000,None,None,None,None,None,None,730000000,None,120300000,976911000,None,-708805000,-34278000,-888663000,USD,8067939000,2782006000,1196908000,1196908000,1277838000,168965000,3416156000,3403334000,571126000,12816000,12816000,None,7300000,None,16700000,147857000,46858000,6936950000,2811035000,916148000,679132000,633166000,5239000,2851456000,None,441000000,627927000,1290000000,446239000,-633166000,364976000,1083704000,None,-2322323000,131000,131425000
2016-12-31,USD,1599257000,7000132000,5400875000,4559939000,-667340000,1432189000,834408000,2266597000,8530000,-198810000,164180000,198810000,756309000,111272000,477300000,947099000,-648216000,26698000,198810000,-773046000,-695098000,-449406000,497693000,-674914000,USD,-123829000,55078000,None,1271058000,209112000,477300000,1280802000,213097000,632867000,-773046000,-1081085000,3743976000,769709000,None,None,None,None,None,None,1701734000,None,None,1865551000,None,2196308000,-7409000,-674914000,USD,22664076000,6259796000,3393000000,3393216000,2067454000,499142000,7350320000,5982957000,997485000,376145000,376145000,None,None,506302000,216000,299984000,216751000,16750167000,5827005000,1860341000,1614916000,1114652000,130441000,8640254000,1459684000,5892016000,984211000,None,6022457000,84492000,1891449000,4752911000,None,-2997237000,161000,161561000
2017-12-31,USD,2223000000,11759000000,9536000000,7797183000,-1632000000,2477000000,1378000000,3855000000,19686000,-471259000,-259000,471000000,948469000,-125000000,769000000,1636003000,-1930000000,32000000,471259000,-2240578000,-1905000000,-1459000000,177003000,-1962000000,USD,-61000000,248266000,None,639372000,275569000,769300000,3414814000,24635000,179000000,-2241000000,-4196000000,4415000000,511321000,None,230385000,None,None,None,None,400000000,None,52883000,481789000,None,-25302000,39455000,-1962000000,USD,28655372000,6570520000,3368000000,3367914000,2263537000,515381000,11620758000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,423688000,273123000,23022980000,7674670000,2390250000,2193052000,799849000,3300000,13083289000,1801010000,8828985000,796549000,None,8832285000,130565000,2442970000,4237242000,None,-4974299000,169000,168797000
2018-12-31,USD,4042000000,21461000000,17419000000,85272000,-388000000,2835000000,1460000000,4430000000,24533000,-663071000,-71000,663000000,22184879000,22000000,1110000000,66000000,-918000000,58000000,663071000,-1062582000,-1018000000,-255000000,-189000000,-976000000,USD,2098000000,443545000,None,2289477000,1602121000,1268730000,2100724000,496732000,1023000000,-1063000000,-2337000000,574000000,None,None,11000,None,None,None,None,None,None,None,295711000,None,334129000,None,-976000000,USD,29740000000,8307000000,3686000000,3685618000,3113000000,949022000,13072152000,11330000000,2699000000,350000000,282000000,68000000,None,421548000,192551000,558222000,572000000,23427000000,9993000000,3405000000,2504000000,2222000000,2567699000,13164200000,1855900000,8411000000,2567699000,None,8410490000,372000000,2710000000,4923000000,None,-5317832000,0,172603000
2019-12-31,USD,4069000000,24578000000,20509000000,193000000,-69000000,2646000000,1343000000,4138000000,44000000,-685000000,44000000,685000000,-98000000,45000000,1370000000,343000000,-752000000,110000000,685000000,-775000000,-890000000,-67000000,276000000,-862000000,USD,2405000000,1009000000,None,1592000000,969000000,1901000000,1332000000,367000000,429000000,-775000000,-1436000000,1529000000,None,None,None,None,None,None,None,848000000,None,174000000,1285000000,None,2498000000,None,-862000000,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,15251000000,10396000000,3734000000,537000000,339000000,198000000,None,1000000,None,959000000,1470000000,26199000000,10667000000,3771000000,3842000000,1399000000,785000000,6050000000,1232000000,10402000000,228000000,None,11187000000,260000000,2691000000,6618000000,None,-6083000000,1000000,181000000
2020-12-31,USD,6630000000,31536000000,24906000000,289000000,1994000000,3145000000,1491000000,4636000000,30000000,-748000000,30000000,748000000,-336000000,-122000000,1570000000,399000000,1013000000,292000000,853000000,862000000,1120000000,1761000000,2160000000,721000000,USD,5943000000,1115000000,None,2918000000,1669000000,2149000000,3167000000,652000000,422000000,862000000,-3132000000,9973000000,None,None,None,None,None,None,None,12269000000,None,None,12686000000,None,12784000000,None,721000000,USD,52148000000,26717000000,19384000000,19384000000,4101000000,1895000000,18134000000,12747000000,5117000000,520000000,313000000,207000000,None,None,None,1346000000,1536000000,28418000000,14248000000,6051000000,4668000000,1758000000,1384000000,6962000000,1094000000,8462000000,2132000000,None,9846000000,264000000,3330000000,22225000000,None,-5399000000,1000000,960000000
2021-12-31,USD,13606000000,53823000000,40217000000,374000000,6523000000,4517000000,2593000000,7083000000,56000000,-371000000,56000000,371000000,-55000000,135000000,1910000000,466000000,6218000000,699000000,371000000,5644000000,5210000000,6589000000,7055000000,5519000000,USD,11497000000,1532000000,None,5847000000,-3401000000,2381000000,7982000000,-130000000,1709000000,5644000000,-7868000000,-5203000000,None,None,None,None,None,None,None,0,None,None,707000000,None,-1574000000,None,5519000000,USD,62131000000,27100000000,17576000000,17707000000,5757000000,1924000000,25281000000,18884000000,6731000000,457000000,257000000,200000000,131000000,None,131000000,1723000000,2138000000,30548000000,19705000000,10025000000,5881000000,1088000000,587000000,8260000000,991000000,4254000000,1088000000,None,4841000000,310000000,3546000000,30189000000,None,329000000,3000000,1033000000
2022-12-31,USD,20853000000,81462000000,60609000000,604000000,13656000000,3946000000,3075000000,7197000000,297000000,-191000000,41000000,191000000,-81000000,-43000000,2420000000,493000000,13688000000,1130000000,191000000,12587000000,12141000000,13879000000,14372000000,12556000000,USD,14724000000,2184000000,None,9064000000,11557000000,2913000000,7158000000,1124000000,6465000000,12587000000,-11973000000,-3527000000,None,None,None,None,None,None,None,0,None,None,541000000,None,None,None,12556000000,USD,82338000000,40917000000,16253000000,22185000000,12839000000,2959000000,32209000000,23548000000,9041000000,409000000,215000000,194000000,22185000000,None,5932000000,2941000000,3865000000,36440000000,26709000000,15255000000,7464000000,1016000000,530000000,10866000000,568000000,1029000000,1016000000,None,1559000000,354000000,5330000000,44704000000,None,12885000000,3000000,3164000000
2023-12-31,USD,17660000000,96773000000,79113000000,463000000,8891000000,4800000000,3969000000,8769000000,1066000000,-156000000,1066000000,156000000,96917000000,172000000,3330000000,506000000,9996000000,-5001000000,156000000,14974000000,15215000000,10152000000,10658000000,14997000000,USD,13256000000,2376000000,None,4137000000,4433000000,3836000000,8898000000,586000000,1195000000,14974000000,-15584000000,2589000000,None,None,None,None,None,None,None,None,None,None,700000000,None,None,None,14997000000,USD,106618000000,49616000000,16398000000,29094000000,13626000000,3508000000,46472000000,29725000000,12057000000,431000000,178000000,253000000,29094000000,None,12696000000,3199000000,4531000000,43009000000,28748000000,14431000000,9651000000,1975000000,1577000000,15250000000,175000000,2682000000,1975000000,None,4259000000,517000000,8153000000,62634000000,None,27882000000,3000000,3185000000
